lesson_number,latin_headword,latin_endings,part_of_speech,english
26,-fruor,,,
26,obeō,"-ire, -ii, -itum",verb,"encounter, engage in, meet, die"
26,somnus,"-i, m.",noun,"drowsiness, sleep"
26,praeclārus,"a, um",adjective,"famous, well-known, bright,"
26,famēs,"famis, f.",noun,hunger
26,frīgus,"frigoris, n.",noun,"cold, chill"
27,prōficiō,"-ficere, -feci, -fectus",verb,"profit, benefit, make"
27,cōnsulātus,"consulatus, m.",noun,consulship
27,exsul,"exsulis, m.",noun,(a person in) exile #27
27,querimōnia,"querimoniae, f.",noun,complaint  cf.
27,penitus,deeply,adjective,inwardly
27,cūnctus,"a, um",noun,"whole, entire, all"
27,auctor,"auctoris, m.",noun,"promoter, leader"
28,mātūrus,"a, um",adjective,"early, seasonable, ripe"
29,pertimēscō,"pertimescere, pertimui, ---",verb,be very
29,ardeō,"ardēre, arsi, arsus",verb,"be on fire, burn"
29,-flagrō,,,
29,sanguis,"sanguinis, m.",noun,blood
30,dissimulō,"dissimulare, dissimulavi, dissimulatus",verb,"conceal, dissemble, disguise, hide; ignore"
30,perpetuus,"a, um",adjective,"continuous, perpetual"
30,eōdem,,adverb,to the same place/purpose
30,colligō,"colligere, collegi, collectus",verb,"gather together,"
30,exstinguō,"exstinguere, exstinxi, exstinctus",verb,"put out,"
31,fortasse,perhaps,adverb,maybe
31,morbus,"-i, m.",noun,"sickness, disease, illness"
32,īnflammō,"inflammare, inflammavi, inflammatus",verb,set
32,frōns,"frontis, f.",noun,"forehead, brow"
32,patefaciō,"patefacere, -feci, -factus",verb,"lay open, open,"
33,ōmen,"ominis, n.",noun,"portent, omen"
33,iungō,"iungere, iunxi, iunctus",,"join, harness, yoke"
33,auspicium,"auspicii, n.",noun,"augury, omen from birds"
33,foedus,"foederis, n.",adjective,"agreement, treaty, pact"
33,societās,"societatis, f.",noun,"alliance, group, association"
33,aeternus,"a, um",adjective,"eternal, everlasting"
33,vīvus,"a, um",adjective,"alive, living"
