Chapter,Headword,Latin_Entry,Part_of_Speech,English
11,ambo,adlambere (3),verb,lick (of flames)
11,praetereo,"praeterire, praeterivi (4)",verb,pass/go by; disregard/neglect/omit/miss; surpass/excel; go overdue; pass over
12,humilis,,,
12,inferi,"-i, m.",noun,"those below (pl.), the dead"
12,repeto,"repetere, repetivi (3)",verb,return to; get back; demand back/again; repeat; recall; claim
12,festino,"festinare, festinavi (1)",verb,"hasten, hurry"
12,stultus,"-i, m.",noun,fool
12,sopor,"-is, m.",noun,deep sleep
12,elabor,"elabi, elapsus sum",verb,slip away; escape; elapse
12,suscito,"suscitare, suscitavi (1)",verb,"encourage, stir up; awaken, rouse, kindle"
12,ala,"-e, f.",noun,"wing; upper arm/foreleg/fin; armpit; squadron (cavalry), flank, army's wing"
12,pernix,pernixis,adjective,"persistent, preserving; nimble, brisk, active, agile, quick, swift, fleet"
12,vertex,"-icis, m.",noun,"whirlpool, eddy, vortex; crown of the head; peak, top, summit; the pole"
12,sidus,"-eris, n.",noun,star; constellation; tempest (Vulgate 4 Ezra 15:39)
12,metus,"-, m.",noun,"fear, anxiety; dread, awe; object of awe/dread"
12,profecto,,adv,"surely, certainly"
12,cano,"canere, cani (3)",verb,"sing, celebrate, chant; crow; recite; play (music)/sound (horn); foretell"
12,canto,"cantare, cantavi (1)",verb,"sing; play (roles/music); recite; praise, celebrate; forewarn; enchant, bewitch"
